lng,lat,u,v,date
253,13,1.330039,-3.8590941,2018100900
254,13,1.3600391,-3.1390944,2018100900
255,13,2.4700391,-3.9690943,2018100900
256,13,1.2300391,-3.3190942,2018100900
257,13,1.6600391,-3.4690943,2018100900
258,13,-0.5999609,-2.3090942,2018100900
259,13,-0.37996092,-1.9890943,2018100900
260,13,-1.069961,-1.4190942,2018100900
261,13,-1.059961,-0.50909424,2018100900
262,13,1.2400391,0.76090574,2018100900
263,13,1.420039,2.5109057,2018100900
264,13,3.9600391,4.410906,2018100900
265,13,5.720039,5.040906,2018100900
266,13,6.110039,3.7809057,2018100900
267,13,4.400039,3.2009058,2018100900
268,13,5.580039,5.560906,2018100900
269,13,7.490039,11.030906,2018100900
270,13,0.14003906,11.0209055,2018100900
271,13,3.540039,5.490906,2018100900
272,13,4.450039,2.3509057,2018100900
273,13,0.11003906,-0.009094238,2018100900
274,13,1.2300391,0.75090575,2018100900
275,13,1.2600391,3.0209057,2018100900
276,13,0.28003907,1.1409057,2018100900
277,13,-0.36996093,5.3809056,2018100900
278,13,-0.45996094,3.4609058,2018100900
279,13,-0.029960938,2.0909057,2018100900
280,13,-0.56996095,1.2709057,2018100900
281,13,-0.23996094,-0.5290942,2018100900
282,13,-0.93996096,-1.2790942,2018100900
283,13,-3.509961,-1.7890942,2018100900
284,13,-3.879961,-2.2490942,2018100900
285,13,-4.819961,-2.8290942,2018100900
286,13,-5.349961,-3.7590942,2018100900
287,13,-5.439961,-4.509094,2018100900
288,13,-6.419961,-4.089094,2018100900
253,14,0.91003907,-3.8990943,2018100900
254,14,1.7600391,-3.7090943,2018100900
255,14,2.070039,-3.2990942,2018100900
256,14,1.7600391,-3.4090943,2018100900
257,14,1.800039,-3.0090942,2018100900
258,14,0.99003905,-2.1790943,2018100900
259,14,1.180039,-1.5290942,2018100900
260,14,0.47003907,-0.8490942,2018100900
261,14,1.0100391,-0.82909423,2018100900
262,14,1.320039,-0.35909423,2018100900
263,14,1.0300391,0.43090576,2018100900
264,14,1.340039,2.9009058,2018100900
265,14,2.560039,4.100906,2018100900
266,14,3.890039,4.200906,2018100900
267,14,2.050039,3.1809058,2018100900
